name,concerned,stoning,importance
Afghanistan,0.31,0.84,0.92
Albania,0.05,0.05,0.15
Azerbaijan,0.01,0.16,0.36
Bangladesh,0.25,0.53,0.81
Bosnia-Herzegovina,0.36,0.05,0.36
Botswana,0.32,0.13,
Cameroon,0.27,0.12,0.96
Chad,0.39,0.25,0.92
Congo,0.28,0.19,0.91
Djibouti,0.36,0.66,0.87
Egypt,0.28,0.72,0.75
Ethiopia,0.38,0.16,0.87
Ghana,0.41,0.15,0.97
Guinea-Bissau,0.66,0.51,0.95
Indonesia,0.47,0.42,0.93
Iraq,0.33,0.56,0.82
Jordan,0.21,0.63,0.85
Kazakhstan,0.28,0.05,0.18
Kenya,0.28,0.09,0.95
Kosovo,0.21,0.12,0.44
Kyrgyzstan,0.28,0.24,0.49
Lebanon,0.32,0.12,
Liberia,0.38,0.13,0.91
Malaysia,0.27,0.51,
Mali,0.16,0.56,0.94
Morocco,0.42,,0.89
Mozambique,0.25,0.18,0.94
Nigeria,0.23,0.23,0.93
Pakistan,0.3,0.86,0.94
Palestinian territories,0.35,0.8,0.85
Russia,0.18,0.04,0.44
Rwanda,0.46,0.04,
Senegal,0.11,0.55,0.98
South Africa,0.28,0.13,
Tajikistan,0.16,0.25,0.5
Tanzania,0.3,0.28,0.95
Thailand,,0.44,0.95
Tunisia,0.34,0.28,0.78
Turkey,0.14,0.09,0.67
Uganda,0.23,0.16,0.93
Zambia,0.45,0.09,
Uzbekistan,,,0.3
