Country,christianity_all
United States of America,233111307
Canada,26431104
Bahamas,302657
Cuba,7407107
Haiti,8003882
Dominican Republic,8662283
Jamaica,1974000
Trinidad and Tobago,729270
Barbados,185756
Dominica,67160
Grenada,94323
St. Lucia,151183
St. Vincent and the Grenadines,93496
Antigua & Barbuda,79425
St. Kitts and Nevis,45525
Mexico,108811290
Belize,223972
Guatemala,13133239
Honduras,7121814
El Salvador,6209779
Nicaragua,5242544
Costa Rica,3925741
Panama,4166894
Colombia,44910647
Venezuela,27392300
Guyana,427919
Suriname,271680
Ecuador,12830327
Peru,27579681
Brazil,168313010
Bolivia,9720100
Paraguay,6138983
Chile,15587652
Argentina,34400709
Uruguay,2746709
United Kingdom,38957273
Ireland,4150307
Netherlands,9626041
Belgium,7526165
Luxembourg,460637
France,44023361
Monaco,26550
Liechtenstein,31031
Switzerland,6303993
Spain,37121529
Andorra,77546
Portugal,9123319
Germany,57827992
Poland,34539629
Austria,6124531
Hungary,6669095
Czech Republic,2252712
Slovakia,4101842
Italy,48018881
San Marino,28088
Malta,401633
Albania,685221
Montenegro,478002
Macedonia,1310808
Croatia,4042145
Yugoslavia,6652741
Bosnia and Herzegovina,1988372
Kosovo,64054
Slovenia,1375987
Greece,10682948
Cyprus,606674
Bulgaria,6206119
Moldova,2925500
Romania,20899522
Russia,105697556
Estonia,380141
Latvia,1772369
Lithuania,2755107
Ukraine,39196664
Belarus,5394257
Armenia,3086654
Georgia,3553010
Azerbaijan,218200
Finland,4258941
Sweden,7133814
Norway,4103723
Denmark,4527237
Iceland,290063
Cape Verde,450220
Sao Tome and Principe,153810
Guinea-Bissau,160848
Equatorial Guinea,622914
Gambia,74920
Mali,407068
Senegal,421345
Benin,3514394
Mauritania,8718
Niger,584548
Ivory Coast,8029336
Guinea,819087
Burkina Faso,4574351
Liberia,3542240
Sierra Leone,1169246
Ghana,16879326
Togo,2797212
Cameroon,9868484
Nigeria,64726375
Gabon,1047752
Central African Republic,2215305
Chad,3909470
Congo,3228666
Democratic Republic of the Congo,63127199
Uganda,25921856
Kenya,32402646
Tanzania,20574501
Burundi,7641386
Rwanda,9252868
Somalia,4333
Djibouti,12256
Ethiopia,50654152
Eritrea,3009808
Angola,17034849
Mozambique,10340024
Zambia,11344499
Zimbabwe,9961179
Malawi,10452600
South Africa,40488807
Namibia,1865944
Lesotho,1972951
Botswana,1250799
Swaziland,957312
Madagascar,12031782
Comoros,850
Mauritius,416484
Seychelles,81121
Morocco,317760
Algeria,285330
Tunisia,37346
Libya,195273
Sudan,2867533
Iran,117000
Turkey,320277
Iraq,600000
Egypt,9851306
Syria,1530971
Lebanon,1660967
Jordan,183363
Israel,152400
Saudi Arabia,782723
Yemen,0
Kuwait,0
Bahrain,120985
Qatar,245603
United Arab Emirates,445461
Oman,99499
Afghanistan,7287
Turkmenistan,505440
Tajikistan,150000
Kyrgyzstan,540229
Uzbekistan,1408027
Kazakhstan,4731595
China,78030424
Mongolia,53170
Taiwan,1231401
North Korea,405910
South Korea,13973291
Japan,2499998
India,27973830
Bhutan,8454
Pakistan,2863590
Bangladesh,294580
Myanmar,4565000
Sri Lanka,1495578
Maldives,1441
Nepal,375697
Thailand,403998
Cambodia,57199
Laos,92112
Vietnam,8004439
Malaysia,2338758
Singapore,930663
Brunei,12362
Philippines,84493445
Indonesia,25444526
East Timor,1105222
Australia,13150670
Papua New Guinea,6611410
New Zealand,2361557
Vanuatu,205190
Solomon Islands,482878
Kiribati,98880
Tuvalu,9764
Fiji,549963
Tonga,98745
Nauru,9638
Marshall Islands,50971
Palau,18391
Federated States of Micronesia,96000
Samoa,180140
